year,season,grade,day_type,Max,Min,Mean,Variance,Count,Median,Q1,Q3,IQR,Skewness,Kurtosis,Range
2024,Spring,very_bad,weekday,277.0,152.0,214.5,7812.5,2,214.5,183.25,245.75,62.5,0.0,-2.0,125.0
2024,Summer,good,weekday,30.0,10.0,20.095238095238095,30.7711962833914,42,19.0,16.0,26.0,10.0,-0.015112762863259853,-1.189176599997781,20.0
2024,Summer,good,weekend,30.0,16.0,23.05,19.313157894736847,20,23.0,20.25,26.5,6.25,-0.022932409571079733,-1.1254379775644758,14.0
2024,Summer,normal,weekday,56.0,31.0,39.5,43.441176470588225,18,40.0,35.0,42.0,7.0,0.8060784456103391,0.40169899185387825,25.0
2024,Summer,normal,weekend,49.0,31.0,36.75,35.642857142857146,8,35.0,32.75,39.25,6.5,1.0630838778105742,0.16832864125043656,18.0
2024,Fall,good,weekday,29.0,11.0,20.916666666666668,25.992753623188413,24,20.5,18.0,23.5,5.5,0.07958812030156162,-0.761982623339601,18.0
2024,Fall,good,weekend,30.0,11.0,20.705882352941178,37.720588235294116,17,21.0,15.0,26.0,11.0,-1.1546761750255441e-05,-1.3476610467038292,19.0
2024,Fall,normal,weekday,47.0,33.0,38.285714285714285,20.571428571428573,7,38.0,36.0,39.0,3.0,0.8413033346885521,0.1635963220164638,14.0
2024,Fall,normal,weekend,35.0,35.0,35.0,,1,35.0,35.0,35.0,0.0,,,0.0
2024,Winter,good,weekday,30.0,11.0,21.666666666666668,33.66666666666664,15,24.0,17.0,25.5,8.5,-0.252494295976397,-1.0456147756622496,19.0
2024,Winter,good,weekend,28.0,14.0,22.727272727272727,23.618181818181814,11,24.0,20.0,26.5,6.5,-0.5989960871378867,-0.9545955584949883,14.0
2024,Winter,normal,weekday,77.0,31.0,45.86363636363637,176.12337662337663,22,40.0,35.0,52.0,17.0,0.871884660807712,-0.10537749214598202,46.0
2024,Winter,normal,weekend,69.0,31.0,45.857142857142854,227.14285714285714,7,42.0,34.5,55.0,20.5,0.6282551987343292,-1.1875362261513915,38.0
2024,Winter,bad,weekday,83.0,83.0,83.0,,1,83.0,83.0,83.0,0.0,,,0.0
