date,total_passenger,commute_passenger,other_passenger,holiday_or_weekend
2022-07-22,4712411.0,1938941.0,2773470.0,0
2022-07-23,3369916.0,983638.0,2386278.0,1
2022-07-24,2484132.0,738920.0,1745212.0,1
2022-07-25,4562428.0,1937123.0,2625305.0,0
2022-07-26,4645899.0,1974756.0,2671143.0,0
2022-07-27,4654972.0,1957707.0,2697265.0,0
2022-07-28,4589545.0,1924614.0,2664931.0,0
2022-07-29,4654766.0,1906586.0,2748180.0,0
2022-07-30,3216577.0,979252.0,2237325.0,1
2022-07-31,2306090.0,700163.0,1605927.0,1
2022-08-01,4286183.0,1821991.0,2464192.0,0
2022-08-02,4247174.0,1799912.0,2447262.0,0
2022-08-03,4356830.0,1839360.0,2517470.0,0
2022-08-04,4525578.0,1899640.0,2625938.0,0
2022-08-05,4565927.0,1870686.0,2695241.0,0
2022-08-06,4565927.0,1870686.0,2695241.0,1
2022-08-07,3251392.0,971979.0,2279413.0,1
2022-08-08,4128931.0,1823983.0,2304948.0,0
2022-08-09,4128931.0,1823983.0,2304948.0,0
2022-08-10,4491198.0,1866082.0,2625116.0,0
2022-08-11,4401988.0,1865736.0,2536252.0,0
2022-08-12,4698326.0,1898761.0,2799565.0,0
2022-08-13,4698326.0,1898761.0,2799565.0,1
2022-08-14,2521703.0,726481.0,1795222.0,1
2022-08-15,2445892.0,713684.0,1732208.0,0
2022-08-16,4592009.0,1946946.0,2645063.0,0
2022-08-17,4753001.0,2025748.0,2727253.0,0
2022-08-18,4716612.0,2000154.0,2716458.0,0
2022-08-19,4670133.0,1947271.0,2722862.0,0
2022-08-20,3491146.0,1038608.0,2452538.0,1
2022-08-21,2607417.0,779720.0,1827697.0,1
2022-08-22,4629924.0,1987172.0,2642752.0,0
2022-08-23,4728566.0,2044512.0,2684054.0,0
2022-08-24,4752913.0,2032685.0,2720228.0,0
2022-08-25,4695547.0,2007424.0,2688123.0,0
2022-08-26,4907885.0,2025068.0,2882817.0,0
2022-08-27,3623825.0,1078952.0,2544873.0,1
2022-08-28,3623825.0,1078952.0,2544873.0,1
2022-08-29,4623636.0,2031423.0,2592213.0,0
2022-08-30,4585360.0,2062493.0,2522867.0,0
2022-08-31,4832522.0,2068190.0,2764332.0,0
2022-09-01,5006359.0,2128002.0,2878357.0,0
2022-09-02,5082340.0,2107887.0,2974453.0,0
2022-09-03,3728129.0,1097823.0,2630306.0,1
2022-09-04,2442355.0,742982.0,1699373.0,1
2022-09-05,4494554.0,2060920.0,2433634.0,0
2022-09-06,4605828.0,1927131.0,2678697.0,0
2022-09-07,5170794.0,2166383.0,3004411.0,0
2022-09-08,5031796.0,1937925.0,3093871.0,0
2022-09-09,2321239.0,662924.0,1658315.0,1
2022-09-10,1790701.0,535759.0,1254942.0,1
2022-09-11,2213968.0,611079.0,1602889.0,1
2022-09-12,2453648.0,700878.0,1752770.0,1
2022-09-13,2453648.0,700878.0,1752770.0,0
2022-09-14,4886826.0,2124183.0,2762643.0,0
2022-09-15,4942842.0,2125576.0,2817266.0,0
2022-09-16,5030486.0,2102643.0,2927843.0,0
2022-09-17,3681194.0,1093198.0,2587996.0,1
2022-09-18,2779050.0,818800.0,1960250.0,1
2022-09-19,4813473.0,2100972.0,2712501.0,0
2022-09-20,4923167.0,2133297.0,2789870.0,0
2022-09-21,4923167.0,2133297.0,2789870.0,0
2022-09-22,4921440.0,2098811.0,2822629.0,0
2022-09-23,4979111.0,2071959.0,2907152.0,0
2022-09-24,3721332.0,1112680.0,2608652.0,1
2022-09-25,2785520.0,820962.0,1964558.0,1
2022-09-26,4800377.0,2076745.0,2723632.0,0
2022-09-27,4800169.0,2076642.0,2723527.0,0
2022-09-28,4969954.0,2127482.0,2842472.0,0
2022-09-29,4931456.0,2092363.0,2839093.0,0
2022-09-30,5053579.0,2077464.0,2976115.0,0
2022-10-01,3571186.0,1068084.0,2503102.0,1
2022-10-02,2714551.0,773895.0,1940656.0,1
2022-10-03,2285529.0,705176.0,1580353.0,1
2022-10-04,4827156.0,2095617.0,2731539.0,0
2022-10-05,4942910.0,2125189.0,2817721.0,0
2022-10-06,4921465.0,2095895.0,2825570.0,0
2022-10-07,5014788.0,2084024.0,2930764.0,0
2022-10-08,5014788.0,2084024.0,2930764.0,1
2022-10-09,2439982.0,717647.0,1722335.0,1
2022-10-10,2625699.0,773239.0,1852460.0,1
2022-10-11,4841353.0,2100954.0,2740399.0,0
2022-10-12,4841353.0,2100954.0,2740399.0,0
2022-10-13,4916948.0,2099234.0,2817714.0,0
2022-10-14,4975075.0,2070092.0,2904983.0,0
2022-10-15,3676218.0,1093286.0,2582932.0,1
2022-10-16,3676218.0,1093286.0,2582932.0,1
2022-10-17,4412019.0,1918961.0,2493058.0,0
2022-10-18,4741838.0,2066300.0,2675538.0,0
2022-10-19,4910989.0,2123024.0,2787965.0,0
2022-10-20,4874102.0,2072518.0,2801584.0,0
2022-10-21,4925698.0,2029872.0,2895826.0,0
2022-10-22,3641141.0,1087798.0,2553343.0,1
2022-10-23,2699585.0,789242.0,1910343.0,1
2022-10-24,4685997.0,2029102.0,2656895.0,0
2022-10-25,4863996.0,2097251.0,2766745.0,0
2022-10-26,4889108.0,2075164.0,2813944.0,0
2022-10-27,4879509.0,2065050.0,2814459.0,0
2022-10-28,4879509.0,2065050.0,2814459.0,0
2022-10-29,3771986.0,1125489.0,2646497.0,1
2022-10-30,3771986.0,1125489.0,2646497.0,1
2022-10-31,4651739.0,2007830.0,2643909.0,0
2022-11-01,4746593.0,2067081.0,2679512.0,0
2022-11-02,4822277.0,2077068.0,2745209.0,0
2022-11-03,4775783.0,2045117.0,2730666.0,0
2022-11-04,4836723.0,2023490.0,2813233.0,0
2022-11-05,3507406.0,1039016.0,2468390.0,1
2022-11-06,2659142.0,759600.0,1899542.0,1
2022-11-07,4705436.0,2046849.0,2658587.0,0
2022-11-08,4806164.0,2087352.0,2718812.0,0
2022-11-09,4855087.0,2092053.0,2763034.0,0
2022-11-10,4829369.0,2066103.0,2763266.0,0
2022-11-11,4887832.0,2008473.0,2879359.0,0
2022-11-12,3336465.0,975132.0,2361333.0,1
2022-11-13,2499895.0,719952.0,1779943.0,1
2022-11-14,4527470.0,1951981.0,2575489.0,0
2022-11-15,4661460.0,2018142.0,2643318.0,0
2022-11-16,4848356.0,2039807.0,2808549.0,0
2022-11-17,4651322.0,1949765.0,2701557.0,0
2022-11-18,4700166.0,1899421.0,2800745.0,0
2022-11-19,3471747.0,1015370.0,2456377.0,1
2022-11-20,2659862.0,761045.0,1898817.0,1
2022-11-21,4628376.0,1989814.0,2638562.0,0
2022-11-22,4718094.0,2035420.0,2682674.0,0
2022-11-23,4772871.0,2038898.0,2733973.0,0
2022-11-24,4792515.0,2059214.0,2733301.0,0
2022-11-25,4824571.0,1967190.0,2857381.0,0
2022-11-26,3427838.0,1000114.0,2427724.0,1
2022-11-27,2513114.0,724292.0,1788822.0,1
2022-11-28,4614293.0,2022760.0,2591533.0,0
2022-11-29,4737646.0,2049488.0,2688158.0,0
2022-11-30,4858029.0,2114027.0,2744002.0,0
2022-12-01,4688496.0,2035325.0,2653171.0,0
2022-12-02,4833482.0,2024636.0,2808846.0,0
2022-12-03,3346123.0,973625.0,2372498.0,1
2022-12-04,3346123.0,973625.0,2372498.0,1
2022-12-05,4617598.0,2012892.0,2604706.0,0
2022-12-06,4617598.0,2012892.0,2604706.0,0
2022-12-07,4805814.0,2033301.0,2772513.0,0
