대여일자,대여건수
2024-05-07,73394
2024-05-08,176840
2024-05-09,178018
2024-05-10,189154
2024-05-11,62217
2024-05-12,147007
2024-05-13,182612
2024-05-14,192349
2024-05-15,54578
2024-05-16,171785
2024-05-17,190815
2024-05-18,170053
2024-05-19,152199
2024-05-20,178317
2024-05-21,186302
2024-05-22,186678
2024-05-23,185658
2024-05-24,189921
2024-05-25,167431
2024-05-26,62695
2024-05-27,179257
2024-05-28,193347
2024-05-29,189821
2024-05-30,187451
2024-05-31,186899
2024-06-01,167886
2024-06-02,154185
2024-06-03,187325
2024-06-04,194258
2024-06-05,193174
2024-06-06,150192
2024-06-07,176158
2024-06-08,108169
2024-06-09,144226
2024-06-10,184822
2024-06-11,185345
2024-06-12,185744
2024-06-13,180576
2024-06-14,184775
2024-06-15,135549
2024-06-16,138909
2024-06-17,183979
2024-06-18,185043
2024-06-19,176984
2024-06-20,176293
2024-06-21,181238
2024-06-22,60130
2024-06-23,106453
2024-06-24,176793
2024-06-25,194249
2024-06-26,186839
2024-06-27,184941
2024-06-28,178144
2024-06-29,100000
2024-06-30,95582
2024-07-01,182412
2024-07-02,39425
2024-07-03,164923
2024-07-04,158343
2024-07-05,170995
2024-07-06,95369
2024-07-07,82462
2024-07-08,49089
2024-07-09,131047
2024-07-10,157084
2024-07-11,176887
2024-07-12,178478
2024-07-13,132048
2024-07-14,116657
2024-07-15,166497
2024-07-16,94003
2024-07-17,52002
2024-07-18,42868
2024-07-19,158625
2024-07-20,84494
2024-07-21,97479
2024-07-22,85679
2024-07-23,113320
2024-07-24,126761
2024-07-25,131194
2024-07-26,117455
2024-07-27,76401
2024-07-28,102036
2024-07-29,138818
2024-07-30,150513
2024-07-31,149869
2024-08-01,145489
2024-08-02,140156
2024-08-03,105224
2024-08-04,89614
2024-08-05,123157
2024-08-06,136544
2024-08-07,141042
2024-08-08,137397
2024-08-09,139485
2024-08-10,114532
2024-08-11,99631
2024-08-12,143230
2024-08-13,134079
2024-08-14,132732
2024-08-15,102411
2024-08-16,140851
2024-08-17,105965
2024-08-18,93509
2024-08-19,143004
2024-08-20,146665
2024-08-21,73100
2024-08-22,125878
2024-08-23,151308
2024-08-24,105514
2024-08-25,101723
2024-08-26,142238
2024-08-27,149070
2024-08-28,166242
2024-08-29,166666
2024-08-30,167333
2024-08-31,134545
2024-09-01,125170
2024-09-02,153795
2024-09-03,178909
2024-09-04,176857
2024-09-05,142476
2024-09-06,150539
2024-09-07,148978
2024-09-08,131434
2024-09-09,170529
2024-09-10,169983
2024-09-11,154083
2024-09-12,62022
2024-09-13,75826
2024-09-14,115908
2024-09-15,102890
2024-09-16,89292
2024-09-17,79402
2024-09-18,101367
2024-09-19,155491
2024-09-20,49130
2024-09-21,112110
2024-09-22,159567
2024-09-23,188300
2024-09-24,191168
2024-09-25,187734
2024-09-26,176103
2024-09-27,191573
2024-09-28,169000
2024-09-29,154569
