,date,bus_total_passenger,bus_commute_passenger,bus_other_passenger,train_total_passenger,train_commute_passenger,train_other_passenger,fine_dust(㎍/㎥),avg_temp,min_temp,max_temp,precipitation(mm),snow_depth(mm),season,year,fd_grade,p_grade,s_grade,at_grade,day_type,total_other,other_category
393,2022-01-29,16.036044728369607,9.515067680952281,20.12097359969868,14.308618985162092,8.86991730739172,18.78550590259487,3.6923076923076925,11.93548387096774,11.098901098901102,10.555555555555555,0.0,0.0,Winter,2022,Normal,Dry,No_Snow,Cold,Weekend,30.3446637135317,Low
394,2022-01-30,7.246650958247429,3.905652395476178,9.41436626074255,6.706090686466034,4.092535666821317,8.863010242544629,4.3076923076923075,12.795698924731182,10.219780219780223,12.222222222222221,0.0,0.0,Winter,2022,Normal,Dry,No_Snow,Cold,Weekend,13.952741644713463,Low
395,2022-01-31,1.9830059617513527,0.3525241192171489,3.160803440971886,1.912553853379352,0.8609161437903632,2.8061812465290714,5.0769230769230775,15.053763440860214,11.538461538461542,14.88888888888889,0.340522133938706,6.521739130434782,Winter,2022,Normal,Light,Light_Snow,Cold,Weekend,3.8955598151307047,Low
396,2022-02-01,0.0,0.0,0.0,0.0,0.0,0.0,6.769230769230769,14.408602150537632,16.043956043956047,10.555555555555555,0.4824063564131668,18.115942028985508,Winter,2022,Normal,Light,Moderate_Snow,Cold,Weekend,0.0,Low
397,2022-02-02,4.578018200099532,2.044872509231679,6.292309519677804,5.3503440084346074,3.2311233177607575,7.102158112162272,4.153846153846154,12.1505376344086,12.41758241758242,9.555555555555555,0.0,1.8115942028985508,Winter,2022,Normal,Dry,Light_Snow,Cold,Weekend,9.92836220853414,Low
398,2022-02-03,32.30904876042291,34.25494150474486,28.227070232864357,29.84156457015676,35.3749699175555,23.832988731734517,3.0769230769230775,12.1505376344086,11.42857142857143,10.0,0.0,0.0,Winter,2022,Good,Dry,No_Snow,Cold,Weekday,62.150613330579674,Low
399,2022-02-04,34.41917358141802,35.617026755371576,30.784904374027747,32.47170931858318,36.5525063741702,27.697865801271092,2.6153846153846154,10.21505376344086,10.000000000000004,8.777777777777777,0.0,0.0,Winter,2022,Good,Dry,No_Snow,Cold,Weekday,66.8908829000012,Medium
400,2022-02-05,16.80519444246961,10.476996266214268,20.673406605440256,15.578027941443427,9.599607832434788,20.504114727328577,2.6153846153846154,8.709677419354838,8.351648351648356,7.333333333333333,0.0,0.0,Winter,2022,Good,Dry,No_Snow,Cold,Weekend,32.383222383913036,Low
401,2022-02-06,7.495366185596328,4.5936329810887155,9.285343061735524,7.488660284607921,4.900461222798648,9.59690072879572,2.307692307692308,11.61290322580645,9.780219780219783,11.444444444444445,0.0,0.0,Winter,2022,Good,Dry,No_Snow,Cold,Weekend,14.984026470204249,Low
402,2022-02-07,33.955639796467636,37.661628778821616,28.309928560358088,32.61625337165934,39.26195255119805,25.50542507819805,3.384615384615385,13.118279569892472,10.989010989010993,11.666666666666666,0.0,0.0,Winter,2022,Good,Dry,No_Snow,Cold,Weekday,66.57189316812698,Medium
403,2022-02-08,34.57222910594042,37.808042732425726,29.262699976023413,33.2533171597875,39.149954886670855,26.80274763845445,3.8461538461538467,15.698924731182794,14.505494505494509,15.777777777777779,0.0,0.0,Winter,2022,Normal,Dry,No_Snow,Cold,Weekday,67.82554626572792,Medium
404,2022-02-09,35.0506545738922,37.847614802280305,30.062405368636767,33.514394095132985,38.870839422185504,27.54647045619386,5.538461538461539,16.881720430107524,14.285714285714288,17.555555555555557,0.0,0.0,Winter,2022,Normal,Dry,No_Snow,Mild,Weekday,68.56504866902519,Medium
405,2022-02-10,34.72822995907009,36.971403161221424,30.216884376756575,33.444165802087255,38.396260431682045,27.84621556756992,7.230769230769231,17.311827956989244,15.494505494505498,17.0,0.0,0.0,Winter,2022,Normal,Dry,No_Snow,Mild,Weekday,68.17239576115735,Medium
406,2022-02-11,35.49689724865682,36.73940750630502,31.742996561589152,34.292375311218535,37.661587178717426,30.10595982167196,14.76923076923077,18.924731182795696,16.153846153846157,19.333333333333336,0.0,0.0,Winter,2022,Bad,Dry,No_Snow,Mild,Weekday,69.78927255987536,Medium
407,2022-02-12,19.55689308457156,12.195581777048307,24.055982468387768,18.312863939845307,11.103399254203477,24.268788495081765,13.692307692307693,20.96774193548387,18.901098901098905,21.111111111111114,0.0,0.0,Winter,2022,Bad,Dry,No_Snow,Mild,Weekend,37.86975702441687,Low
408,2022-02-13,9.081006693005353,5.528999862593221,11.279374082939576,9.239558826063451,5.908998434472372,11.965496224422306,8.0,20.96774193548387,20.769230769230774,20.11111111111111,0.0,0.0,Winter,2022,Normal,Dry,No_Snow,Mild,Weekend,18.320565519068804,Low
409,2022-02-14,33.770604604868936,36.33419275682355,29.071637901381592,32.629527621058145,38.37657762263093,26.33540169492099,6.461538461538462,18.494623655913976,17.582417582417584,18.555555555555557,0.4824063564131668,0.0,Winter,2022,Normal,Light,No_Snow,Mild,Weekday,66.40013222592708,Medium
410,2022-02-15,33.82395059972984,37.28971082906056,28.384485600578266,32.62897661447933,38.40260772409664,26.310698667051682,5.944847605224964,10.752688172043008,10.549450549450553,8.11111111111111,0.0,0.0,Winter,2022,Normal,Dry,No_Snow,Cold,Weekday,66.45292721420917,Medium
411,2022-02-16,32.788058215943366,36.471274950960925,27.25105079725475,31.761782424132402,37.524675874582464,25.481662043778876,3.6923076923076925,7.956989247311827,8.461538461538465,5.0,0.0,0.0,Winter,2022,Normal,Dry,No_Snow,Cold,Weekday,64.54984064007577,Low
