,Date,Fine_dust(㎍/㎥),Precipitation(mm),Snow_depth(cm),Day_type,Season,Year,FD_Grade,P_Grade,S_Grade,Snow_depth(mm)
105,2021-04-16,0.24934383202099736,0.003972758229284903,0.0,Weekday,Spring,2021,Bad,Light,No_Snow,0.0
106,2021-04-17,0.2545931758530184,0.0,0.0,Weekend,Spring,2021,Bad,Dry,No_Snow,0.0
107,2021-04-18,0.11023622047244094,0.0,0.0,Weekend,Spring,2021,Normal,Dry,No_Snow,0.0
108,2021-04-19,0.16010498687664043,0.0,0.0,Weekday,Spring,2021,Normal,Dry,No_Snow,0.0
109,2021-04-20,0.1837270341207349,0.0,0.0,Weekday,Spring,2021,Normal,Dry,No_Snow,0.0
110,2021-04-21,0.19160104986876642,0.0,0.0,Weekday,Spring,2021,Bad,Dry,No_Snow,0.0
111,2021-04-22,0.1837270341207349,0.0,0.0,Weekday,Spring,2021,Normal,Dry,No_Snow,0.0
112,2021-04-23,0.08661417322834646,0.0,0.0,Weekday,Spring,2021,Normal,Dry,No_Snow,0.0
113,2021-04-24,0.04199475065616798,0.0,0.0,Weekend,Spring,2021,Good,Dry,No_Snow,0.0
114,2021-04-25,0.047244094488188976,0.0,0.0,Weekend,Spring,2021,Good,Dry,No_Snow,0.0
115,2021-04-26,0.05511811023622047,0.0,0.0,Weekday,Spring,2021,Good,Dry,No_Snow,0.0
116,2021-04-27,0.07086614173228346,0.009648127128263339,0.0,Weekday,Spring,2021,Normal,Light,No_Snow,0.0
117,2021-04-28,0.13123359580052493,0.02667423382519864,0.0,Weekday,Spring,2021,Normal,Light,No_Snow,0.0
118,2021-04-29,0.13385826771653542,0.022133938706015894,0.0,Weekday,Spring,2021,Normal,Light,No_Snow,0.0
119,2021-04-30,0.08398950131233596,0.1492622020431328,0.0,Weekday,Spring,2021,Normal,Moderate,No_Snow,0.0
120,2021-05-01,0.06561679790026247,0.045402951191827474,0.0,Weekend,Spring,2021,Normal,Light,No_Snow,0.0
121,2021-05-02,0.028871391076115485,0.009648127128263339,0.0,Weekend,Spring,2021,Good,Light,No_Snow,0.0
