,Date,Fine_dust(㎍/㎥),Precipitation(mm),Snow_depth(cm),Day_type,Season,Year,FD_Grade,P_Grade,S_Grade,Snow_depth(mm)
142,2021-05-23,52.0,0.0,0.0,Weekend,Spring,2021,Normal,Dry,No_Snow,0.0
143,2021-05-24,110.0,0.0,0.0,Weekday,Spring,2021,Bad,Dry,No_Snow,0.0
144,2021-05-25,86.0,8.3,0.0,Weekday,Spring,2021,Bad,Light,No_Snow,0.0
145,2021-05-26,44.0,0.0,0.0,Weekday,Spring,2021,Normal,Dry,No_Snow,0.0
146,2021-05-27,53.0,8.9,0.0,Weekday,Spring,2021,Normal,Light,No_Snow,0.0
147,2021-05-28,57.39710144927536,12.3,0.0,Weekday,Spring,2021,Normal,Moderate,No_Snow,0.0
148,2021-05-29,31.0,0.3,0.0,Weekend,Spring,2021,Normal,Light,No_Snow,0.0
149,2021-05-30,57.39710144927536,18.1,0.0,Weekend,Spring,2021,Normal,Moderate,No_Snow,0.0
150,2021-05-31,59.0,4.0,0.0,Weekday,Spring,2021,Normal,Light,No_Snow,0.0
151,2021-06-01,52.0,3.2,0.0,Weekday,Summer,2021,Normal,Light,No_Snow,0.0
152,2021-06-02,62.0,0.0,0.0,Weekday,Summer,2021,Normal,Dry,No_Snow,0.0
153,2021-06-03,45.0,18.1,0.0,Weekday,Summer,2021,Normal,Moderate,No_Snow,0.0
154,2021-06-04,34.0,0.0,0.0,Weekday,Summer,2021,Normal,Dry,No_Snow,0.0
155,2021-06-05,57.0,0.0,0.0,Weekend,Summer,2021,Normal,Dry,No_Snow,0.0
156,2021-06-06,72.0,0.0,0.0,Weekend,Summer,2021,Normal,Dry,No_Snow,0.0
157,2021-06-07,43.0,0.0,0.0,Weekday,Summer,2021,Normal,Dry,No_Snow,0.0
158,2021-06-08,57.0,0.1,0.0,Weekday,Summer,2021,Normal,Light,No_Snow,0.0
159,2021-06-09,44.0,0.0,0.0,Weekday,Summer,2021,Normal,Dry,No_Snow,0.0
160,2021-06-10,59.0,6.1,0.0,Weekday,Summer,2021,Normal,Light,No_Snow,0.0
161,2021-06-11,29.0,4.6,0.0,Weekday,Summer,2021,Good,Light,No_Snow,0.0
162,2021-06-12,34.0,0.0,0.0,Weekend,Summer,2021,Normal,Dry,No_Snow,0.0
163,2021-06-13,36.0,0.0,0.0,Weekend,Summer,2021,Normal,Dry,No_Snow,0.0
164,2021-06-14,54.0,0.0,0.0,Weekday,Summer,2021,Normal,Dry,No_Snow,0.0
165,2021-06-15,40.0,1.9,0.0,Weekday,Summer,2021,Normal,Light,No_Snow,0.0
166,2021-06-16,19.0,0.0,0.0,Weekday,Summer,2021,Good,Dry,No_Snow,0.0
167,2021-06-17,26.0,0.0,0.0,Weekday,Summer,2021,Good,Dry,No_Snow,0.0
168,2021-06-18,32.0,6.3,0.0,Weekday,Summer,2021,Normal,Light,No_Snow,0.0
169,2021-06-19,65.0,0.0,0.0,Weekend,Summer,2021,Normal,Dry,No_Snow,0.0
170,2021-06-20,65.0,0.0,0.0,Weekend,Summer,2021,Normal,Dry,No_Snow,0.0
171,2021-06-21,56.0,0.0,0.0,Weekday,Summer,2021,Normal,Dry,No_Snow,0.0
172,2021-06-22,33.0,0.0,0.0,Weekday,Summer,2021,Normal,Dry,No_Snow,0.0
173,2021-06-23,22.0,7.5,0.0,Weekday,Summer,2021,Good,Light,No_Snow,0.0
174,2021-06-24,40.0,0.0,0.0,Weekday,Summer,2021,Normal,Dry,No_Snow,0.0
175,2021-06-25,52.0,0.0,0.0,Weekday,Summer,2021,Normal,Dry,No_Snow,0.0
176,2021-06-26,32.0,4.5,0.0,Weekend,Summer,2021,Normal,Light,No_Snow,0.0
177,2021-06-27,26.0,38.2,0.0,Weekend,Summer,2021,Good,Moderate,No_Snow,0.0
178,2021-06-28,28.0,0.1,0.0,Weekday,Summer,2021,Good,Light,No_Snow,0.0
179,2021-06-29,38.0,8.0,0.0,Weekday,Summer,2021,Normal,Light,No_Snow,0.0
180,2021-06-30,53.0,6.0,0.0,Weekday,Summer,2021,Normal,Light,No_Snow,0.0
181,2021-07-01,42.0,0.0,0.0,Weekday,Summer,2021,Normal,Dry,No_Snow,0.0
182,2021-07-02,27.0,0.0,0.0,Weekday,Summer,2021,Good,Dry,No_Snow,0.0
183,2021-07-03,16.0,60.0,0.0,Weekend,Summer,2021,Good,Heavy,No_Snow,0.0
184,2021-07-04,15.0,21.4,0.0,Weekend,Summer,2021,Good,Moderate,No_Snow,0.0
185,2021-07-05,29.0,0.0,0.0,Weekday,Summer,2021,Good,Dry,No_Snow,0.0
186,2021-07-06,50.0,0.0,0.0,Weekday,Summer,2021,Normal,Dry,No_Snow,0.0
187,2021-07-07,57.0,12.7,0.0,Weekday,Summer,2021,Normal,Moderate,No_Snow,0.0
188,2021-07-08,33.0,2.9,0.0,Weekday,Summer,2021,Normal,Light,No_Snow,0.0
189,2021-07-09,21.0,0.0,0.0,Weekday,Summer,2021,Good,Dry,No_Snow,0.0
190,2021-07-10,37.0,0.5,0.0,Weekend,Summer,2021,Normal,Light,No_Snow,0.0
191,2021-07-11,43.0,0.4,0.0,Weekend,Summer,2021,Normal,Light,No_Snow,0.0
192,2021-07-12,32.0,0.0,0.0,Weekday,Summer,2021,Normal,Dry,No_Snow,0.0
193,2021-07-13,41.0,0.0,0.0,Weekday,Summer,2021,Normal,Dry,No_Snow,0.0
