,station_id,station_name,date,fine_dust(㎍/㎥)
472,108,서울,2022-05-06,38
473,108,서울,2022-05-07,31
474,108,서울,2022-05-08,20
475,108,서울,2022-05-09,20
476,108,서울,2022-05-10,29
477,108,서울,2022-05-11,30
478,108,서울,2022-05-12,34
479,108,서울,2022-05-13,30
480,108,서울,2022-05-14,35
481,108,서울,2022-05-15,27
482,108,서울,2022-05-16,33
483,108,서울,2022-05-17,56
484,108,서울,2022-05-18,60
485,108,서울,2022-05-19,46
486,108,서울,2022-05-20,38
487,108,서울,2022-05-21,36
488,108,서울,2022-05-22,39
489,108,서울,2022-05-23,69
490,108,서울,2022-05-24,35
491,108,서울,2022-05-25,25
492,108,서울,2022-05-26,26
493,108,서울,2022-05-27,26
494,108,서울,2022-05-28,35
495,108,서울,2022-05-29,31
496,108,서울,2022-05-30,28
497,108,서울,2022-05-31,28
498,108,서울,2022-06-01,26
499,108,서울,2022-06-02,29
500,108,서울,2022-06-03,41
501,108,서울,2022-06-04,38
502,108,서울,2022-06-05,24
503,108,서울,2022-06-08,19
504,108,서울,2022-06-09,24
505,108,서울,2022-06-10,27
506,108,서울,2022-06-11,28
507,108,서울,2022-06-12,25
508,108,서울,2022-06-13,27
509,108,서울,2022-06-14,13
510,108,서울,2022-06-15,14
511,108,서울,2022-06-16,18
512,108,서울,2022-06-17,25
513,108,서울,2022-06-18,21
514,108,서울,2022-06-19,26
515,108,서울,2022-06-20,25
516,108,서울,2022-06-21,29
517,108,서울,2022-06-22,28
518,108,서울,2022-06-23,27
519,108,서울,2022-06-25,47
520,108,서울,2022-06-26,23
521,108,서울,2022-06-27,12
522,108,서울,2022-06-28,18
523,108,서울,2022-06-29,14
524,108,서울,2022-07-01,20
525,108,서울,2022-07-02,29
526,108,서울,2022-07-03,36
527,108,서울,2022-07-04,38
528,108,서울,2022-07-05,34
529,108,서울,2022-07-06,32
530,108,서울,2022-07-07,22
531,108,서울,2022-07-08,22
532,108,서울,2022-07-09,23
533,108,서울,2022-07-10,41
534,108,서울,2022-07-11,26
