STA_LOC,RENT_NM,STAT_DATA,RENT_CNT,RTN_CNT,START_INDEX,END_INDEX,RNUM
송파구,2605. 복정역 1번 출구 앞,2022-07-01,73,72,0,0,593
송파구,2606. 위례동주민센터 맞은편 근린공원,2022-07-01,135,124,0,0,594
성동구,3538. 서울숲 IT캐슬,2022-07-01,4,2,0,0,595
광진구,3533. 건대입구역 사거리(롯데백화점),2022-07-01,289,282,0,0,596
광진구,3534. 건대입구역 5번출구 뒤,2022-07-01,176,191,0,0,597
광진구,3536. 중앙농협(자양동),2022-07-01,81,110,0,0,598
광진구,3537. 아차산 휴먼시아 아파트 옆,2022-07-01,31,12,0,0,599
강북구,1546. 송천동우체국,2022-07-01,27,19,0,0,600
동작구,2069. 숭실대 입구역3번 출구 앞,2022-07-01,21,22,0,0,601
중구,433. 을지로입구역 2번출구,2022-07-01,81,73,0,0,602
중구,434. 신당 래미안 버스정류장,2022-07-01,27,2,0,0,603
종로구,351. 청운초교 앞 삼거리,2022-07-01,30,28,0,0,604
중구,435. SK 남산빌딩,2022-07-01,25,23,0,0,605
동대문구,663. 외대앞역 3번출구,2022-07-01,68,78,0,0,606
노원구,1692. 온곡초교 교차로,2022-07-01,115,78,0,0,607
은평구,971. 역촌 센트레빌 아파트,2022-07-01,23,3,0,0,608
마포구,436. 이대역 5번출구,2022-07-01,43,16,0,0,609
강서구,1187. 강서수산물도매시장,2022-07-01,30,33,0,0,610
영등포구,288. 쌍용예가(구청별관),2022-07-01,55,62,0,0,611
관악구,2183. 동방1교,2022-07-01,158,143,0,0,612
강남구,2409. 역삼동 디오슈페리움 (우성아파트 사거리),2022-07-01,50,49,0,0,613
종로구,352. 중앙고입구 삼거리,2022-07-01,21,16,0,0,614
강남구,2410. 포스코피앤에스타워 (역삼역 3번출구 부근),2022-07-01,28,28,0,0,615
송파구,2608. 송파구청,2022-07-01,302,289,0,0,616
송파구,2609. 보성중고등학교 후문 앞,2022-07-01,17,17,0,0,617
송파구,2610. 송리단길,2022-07-01,172,169,0,0,618
송파구,2611. 송파지역자활센터 뒤,2022-07-01,81,107,0,0,619
송파구,2612. 광평교사거리 인근,2022-07-01,5,4,0,0,620
강동구,3539. 서원마을,2022-07-01,15,12,0,0,621
강동구,1084. 윤선생빌딩(JYP사옥),2022-07-01,118,153,0,0,622
강서구,1193. 마곡센트럴타워 1차,2022-07-01,253,248,0,0,623
강서구,"1191. 마곡역 버스정류장(마곡나루역1번출구, 웰튼병원 방면)",2022-07-01,131,133,0,0,624
종로구,353. 재동초교 앞 삼거리,2022-07-01,45,39,0,0,625
광진구,3541. 커먼그라운드,2022-07-01,202,171,0,0,626
마포구,437. 대흥역 1번출구,2022-07-01,46,54,0,0,627
마포구,438. 성산2-1 공영주차장,2022-07-01,64,66,0,0,628
마포구,439. 마포어린이공원,2022-07-01,84,90,0,0,629
강서구,1199. 우장산역 3번출구,2022-07-01,100,81,0,0,630
강서구,1200. 개화광역환승센터,2022-07-01,13,17,0,0,631
구로구,1998. 고척교 교차로,2022-07-01,24,24,0,0,632
영등포구,289. 대림3동사거리,2022-07-01,61,66,0,0,633
영등포구,290. 새말소공원,2022-07-01,123,119,0,0,634
영등포구,291. 문래동 하이테크 시티,2022-07-01,163,137,0,0,635
서대문구,117. 홍은사거리,2022-07-01,133,134,0,0,636
종로구,354. 포르투갈 대사관 앞,2022-07-01,60,40,0,0,637
영등포구,292. 영일 어린이공원,2022-07-01,56,61,0,0,638
영등포구,293. 충북 미래관,2022-07-01,140,163,0,0,639
관악구,2184. 구암초등학교 버스정류장,2022-07-01,13,2,0,0,640
강남구,2411. 세곡동 성당,2022-07-01,37,43,0,0,641
강남구,2412. 일원1동 주민센터,2022-07-01,49,49,0,0,642
송파구,2613. 잠실나들목,2022-07-01,99,99,0,0,643
송파구,2614. 가락고등학교 앞,2022-07-01,23,20,0,0,644
송파구,2615. 테라타워2,2022-07-01,146,135,0,0,645
강서구,1188. 롯데중앙연구소,2022-07-01,21,25,0,0,646
강서구,1190. 마곡역 교차로(2번출구),2022-07-01,78,81,0,0,647
종로구,355. 서울사대부설초등학교 앞,2022-07-01,71,67,0,0,648
강서구,1192. 마곡수명산파크 209동 건너편,2022-07-01,103,105,0,0,649
강서구,1194. 센서텍㈜,2022-07-01,100,82,0,0,650
강서구,1195. 코오롱One&Only타워,2022-07-01,252,185,0,0,651
강서구,1196. 서울식물원(문화센터) 건너편,2022-07-01,9,10,0,0,652
